Name,Surname,Result,Wind,Date,PB,Olympics
Oblique,Seville,9.82,0.9,01/06/24,,
Oblique,Seville,9.98,0.4,27/06/24,,
Oblique,Seville,9.83,0.4,28/06/24,,
Oblique,Seville,9.82,0.9,28/06/24,PB,
Oblique,Seville,9.99,0.0,03/08/24,,Heat
Oblique,Seville,9.81,0.7,04/08/24,,Semifinal
Oblique,Seville,9.91,1.0,04/08/24,,Final
Noah,Lyles,10.01,1.7,13/04/24,,
Noah,Lyles,9.96,3.0,28/04/24,,
Noah,Lyles,9.85,0.9,01/06/24,,
Noah,Lyles,9.92,0.3,22/06/24,,
Noah,Lyles,9.80,3.0,23/06/24,,
Noah,Lyles,9.83,0.4,24/06/24,,
Noah,Lyles,9.81,-0.3,20/07/24,PB,
Noah,Lyles,10.04,-0.2,03/08/24,,Heat
Noah,Lyles,9.83,0.7,04/08/24,,Semifinal
Noah,Lyles,9.79,1.0,04/08/24,,Final
Louie,Hinchliffe,10.40,NWI,20/04/24,,
Louie,Hinchliffe,10.37,0.2,26/04/24,,
Louie,Hinchliffe,10.21,0.8,27/04/24,,
Louie,Hinchliffe,10.16,0.3,11/05/24,,
Louie,Hinchliffe,10.00,0.8,22/05/24,,
Louie,Hinchliffe,9.84,2.5,24/05/24,,
Louie,Hinchliffe,10.09,0.3,05/06/24,,
Louie,Hinchliffe,9.95,0.2,07/06/24,PB,
Louie,Hinchliffe,10.22,-1.1,29/06/24,,
Louie,Hinchliffe,10.18,-0.8,29/06/24,,
Louie,Hinchliffe,9.97,-0.3,20/07/24,,
Louie,Hinchliffe,9.98,-0.2,03/08/24,,Heat
Louie,Hinchliffe,9.97,0.7,04/08/24,,Semifinal
Emmanuel,Eseme,10.15,-0.1,18/03/24,,
Emmanuel,Eseme,10.23,-0.1,18/03/24,,
Emmanuel,Eseme,10.14,-0.8,19/03/24,,
Emmanuel,Eseme,10.17,-0.1,27/04/24,,
Emmanuel,Eseme,10.11,-0.8,19/05/24,,
Emmanuel,Eseme,10.10,-0.1,23/05/24,,
Emmanuel,Eseme,10.01,0.4,30/05/24,,
Emmanuel,Eseme,10.16,-1.0,02/06/24,,
Emmanuel,Eseme,10.49,1.1,21/06/24,,
Emmanuel,Eseme,10.18,0.0,22/06/24,,
Emmanuel,Eseme,10.15,0.0,22/06/24,,
Emmanuel,Eseme,10.11,2.0,04/07/24,,
Emmanuel,Eseme,10.16,-0.7,13/07/24,,
Emmanuel,Eseme,9.98,0.3,03/08/24,PB,Heat
Emmanuel,Eseme,10.00,0.7,04/08/24,,Semifinal
Shaun,Maswanganyi,9.91,1.8,09/06/23,PB,
Shaun,Maswanganyi,10.02,2.4,29/03/24,,
Shaun,Maswanganyi,10.09,2.1,30/03/24,,
Shaun,Maswanganyi,10.12,0.1,13/04/24,,
Shaun,Maswanganyi,10.40,-0.6,26/04/24,,
Shaun,Maswanganyi,10.26,0.8,27/04/24,,
Shaun,Maswanganyi,10.11,0.3,11/05/24,,
Shaun,Maswanganyi,10.03,0.8,22/05/24,,
Shaun,Maswanganyi,9.89,2.5,24/05/24,,
Shaun,Maswanganyi,10.14,0.3,05/06/24,,
Shaun,Maswanganyi,10.05,0.2,07/06/24,,
Shaun,Maswanganyi,10.06,-0.2,03/08/24,,Heat
Shaun,Maswanganyi,10.01,0.7,04/08/24,,Semifinal
Favour,Ashe,9.99,0.7,30/03/24,,
Favour,Ashe,10.13,-0.5,10/05/24,,
Favour,Ashe,10.35,-2.5,22/05/24,,
Favour,Ashe,9.94,1.4,24/05/24,PB,
Favour,Ashe,10.13,0.3,05/07/24,,
Favour,Ashe,9.99,0.2,07/07/24,,
Favour,Ashe,10.31,1.0,13/07/24,,
Favour,Ashe,10.10,0.1,16/07/24,,
Favour,Ashe,10.16,0.0,03/08/24,,Heat
Favour,Ashe,10.08,0.7,04/08/24,,Semifinal
Chituru,Ali,10.01,+2.2,20/04/24,,
Chituru,Ali,10.06,+1.8,03/05/24,,
Chituru,Ali,10.11,+1.1,18/05/24,,
Chituru,Ali,10.19,-1.0,02/06/24,,
Chituru,Ali,10.11,0.3,08/06/24,,
Chituru,Ali,10.05,0.7,08/06/24,,
Chituru,Ali,10.01,3.8,18/06/24,,
Chituru,Ali,9.96,1.5,18/06/24,PB,
Chituru,Ali,10.12,0.2,03/08/24,,Heat
Chituru,Ali,10.14,0.7,04/08/24,,Semifinal
Rikkoi,Brathwaite,10.19,0.6,16/03/24,,
Rikkoi,Brathwaite,10.17,2.0,30/03/24,,
Rikkoi,Brathwaite,10.22,2.5,13/04/24,,
Rikkoi,Brathwaite,10.13,2.7,20/04/24,,
Rikkoi,Brathwaite,10.03,1.6,20/04/24,,
Rikkoi,Brathwaite,10.19,0.6,18/05/24,,
Rikkoi,Brathwaite,10.04,0.9,18/05/24,,
Rikkoi,Brathwaite,10.19,1.2,25/05/24,,
Rikkoi,Brathwaite,10.21,-0.9,31/05/24,,
Rikkoi,Brathwaite,10.12,1.2,16/06/24,,
Rikkoi,Brathwaite,10.24,-1.5,22/06/24,,
Rikkoi,Brathwaite,10.00,1.1,19/07/24,PB,
Rikkoi,Brathwaite,10.20,1.2,19/07/24,,
Rikkoi,Brathwaite,10.13,-1.1,03/08/24,,Heat
Rikkoi,Brathwaite,10.15,0.7,04/08/24,,Semifinal
Benjamin,Azamati,9.90,2.0,25/03/22,PB,
Benjamin,Azamati,10.54,-1.6,18/03/24,,
Benjamin,Azamati,10.41,-0.1,18/03/24,,
Benjamin,Azamati,10.45,-0.8,19/03/24,,
Benjamin,Azamati,10.54,0.7,20/04/24,,
Benjamin,Azamati,10.03,3.9,26/04/24,,
